"AffiliateItemCard href","ItemCard__image src","ItemCard__name"
"https://affiliate.shopee.vn/offer/product_offer/29522842263?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134301-7ra41-m4piryf2vbskcd.webp","[BW Gift mới]  Sữa dưỡng thể Vaseline 70ml (mẫu ngẫu nhiên)"
"https://affiliate.shopee.vn/offer/product_offer/40774336580?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134207-821fw-mh1l8j9xfv2k76.webp","[Sample 2ml] [Hàng Tặng Kèm Không Bán] Kem Dưỡng BEPLAIN PDRN Rau Má đàn hồi & trẻ hóa làn da, cấp ẩm & căng bóng Cica PDRN 2ml"
"https://affiliate.shopee.vn/offer/product_offer/44305151205?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134207-821g4-mh1lb2jz5jbf4e.webp","[Sample 2ml] [ Hàng Tặng Kèm Không Bán] Tinh Chất Serum Rau Má PDRN – Phục Hồi, Cấp Ẩm, Căng bóng, Tái Sinh Làn da & Giúp da săn chắc 2ml"
"https://affiliate.shopee.vn/offer/product_offer/24127826015?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/vn-11134207-81ztc-ml67fvq4xwr39d.webp","Kem dưỡng Cao cấp Five Grains trắng da Niacinamide, Alpha-Arbutin nâng tone ban ngày 200ML"
"https://affiliate.shopee.vn/offer/product_offer/25894465179?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134207-7reqn-m8x3y0whhakg34.webp","[10ml Hàng Tặng Kèm Không Bán] Tinh chất BEPLAIN PDRN Rau Má phục hồi & tái sinh tổn thương cho da trẻ hoá, cấp ẩm & căng bóng Cica PDRN Skin Booster Serum 10ml"
"https://affiliate.shopee.vn/offer/product_offer/531577271?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/vn-11134207-81ztc-ml1wwvkd74li51.webp","[DAILY] Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g Hasaki Sản Phẩm Chính Hãng"
"https://affiliate.shopee.vn/offer/product_offer/22504415135?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/cn-11134207-7ras8-m0l2l6711sjr0d.webp","Ositree Kem lót mặt trang điểm Kem lót cách ly Kem dưỡng ẩm Hydrating Brightening  Tone-up25g"
"https://affiliate.shopee.vn/offer/product_offer/29118467747?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/vn-11134207-81ztc-mleedwy6wmis18.webp","Serum Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 7 Ngày 300ML/330 ML (tùy đợt nhập hàng)"
"https://affiliate.shopee.vn/offer/product_offer/42521803525?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/cn-11134207-820l4-mfupsq3cdyiw13.webp","OSITREE Face Primer Trang điểm BasePrier lsolation Kem dưỡng ẩmHydrating Bright Kem che khuyết điểm Toneup25g"
"https://affiliate.shopee.vn/offer/product_offer/8878211498?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134207-8260j-mleax6cj6nlsde.webp","[Torriden Chính hãng] Kem dưỡng làm dịu da DIVE IN chứa Hyaluronic Acid, 100ml, Soothing Cream"
"https://affiliate.shopee.vn/offer/product_offer/23915942301?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134201-82601-mlljryb3ikn474.webp","Kem Lót Dưỡng Ẩm JUDYDOLL Nourishing Makeup Base Chống Mốc Nền Giữ nền lâu trôi Cho da khô 30g"
"https://affiliate.shopee.vn/offer/product_offer/21619809513?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134201-8260r-mlm0s3dej9c12c.webp","Bộ Serum Glycolic Melasyl 8% [Melasyl+Glycolic+Niacinamide] 30ml & Kem dưỡng ngày đêm mờ thâm nám L'Oreal Paris Glycolic"
"https://affiliate.shopee.vn/offer/product_offer/29172489261?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/cn-11134207-820l4-mkj68noy2kucd5.webp","AZTK Son Kem Lì Dưỡng Màu Mềm Mịn Lâu Trôi 1.9g"
"https://affiliate.shopee.vn/offer/product_offer/42517930095?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/vn-11134207-820l4-mectulug44jo32.webp","[HB GIFT 5] Kem mắt 5ml cho mặt Chống lão hóa PROSHOT COLLA-JUVENATION LIFT 4 5ML"
"https://affiliate.shopee.vn/offer/product_offer/56505889262?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134201-82620-mkdlfb5lh43n86.webp","[QUÀ TẶNG KHÔNG BÁN] Kem dưỡng kết cấu mochi căng mọng da 7ml"
"https://affiliate.shopee.vn/offer/product_offer/44103947407?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/vn-11134207-7ras8-mde5rjvb0f30a9.webp","Serum Dưỡng Thể NIVEA 10 Super Vitamins & Skin Foods Sáng Da/Vitamin Extra Bright C&AHA Dưỡng Sáng (300ml) - 93824/99197"
"https://affiliate.shopee.vn/offer/product_offer/21473335559?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134201-82608-mli2ihuh258h07.webp","Kem dưỡng ẩm & phục hồi đa năng La Roche-Posay Cicaplast Baume B5+ giúp phục hồi da sau 1 lần sử dụng - phiên bản 40ml"
"https://affiliate.shopee.vn/offer/product_offer/21732934778?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/sg-11134201-82628-mlkxjdicu1oi69.webp","Kem dưỡng ẩm phục hồi chuyên sâu và giữ da ẩm mịn suốt 48H CERAVE MOISTURISING CREAM 50ML"
"https://affiliate.shopee.vn/offer/product_offer/1042697070?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/vn-11134201-7ras8-maldsoxymg1tee.webp","Sữa Dưỡng Thể NIVEA Sáng Da Ban Đêm 8 Super Foods (350 ml) – 98412"
"https://affiliate.shopee.vn/offer/product_offer/19128682241?trace=%7B%22trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B655400%2C648055%2C657568%2C635297%2C657585%5D%2C%22root_trace_id%22%3A%220.HIg2Us3Cel.200%22%2C%22root_list_type%22%3A200%7D","https://down-ws-vn.img.susercontent.com/vn-11134207-81ztc-mlfth4s0j1u0c8.webp","Combo kem tẩy lông và kem dưỡng Ollie tẩy vùng kín, nách, tay, chân , an toàn không đau rát,dưỡng da phù hợp mọi loại da"
